,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO__Action,FROM_rata_disability_2014_TO__Action,FROM_rata_disability_2015_TO__Action,FROM_rata_disability_2016_TO__Action,FROM_rata_disability_2017_TO__Action,FROM_rata_disability_2018_TO__Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action,,,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2021,2021-2022
96,She doesn't talk because of trauma,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
97,Dyslexic Reggie (Julie and The Phantoms),FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
98,Deaf John_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
99,Deaf Logic | Logan Sanders,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
100,Selectively mute Jimin,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
101,Blind Louis Tomlinson,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
102,Disabled Warrior of Light (Final Fantasy XIV)_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
103,blind!Lena,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
104,Deaf background character,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
105,Kihyun is blind,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
106,Disability (Maybe),FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,
107,Mute Jared Padalecki,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
108,Mute!Ariel,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
109,sort of deaf Keith (Voltron),FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
110,Blind Shouta,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
111,Peter has a disability,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,
112,Disabled Derek Hale,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,,,,,,,,
113,Victor is selectively mute :0,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
114,Blind Zhongli (Genshin Impact)_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
115,Mute Warrior of Light (Final Fantasy XIV)_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
116,Deaf Wilbur Soot_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
117,Mute Hank J*d* Wimbleton_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
118,VOLUNTARILY MUTE CASTIEL,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
119,Partially Blind 76,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
120,Frakes has a disability and so does Riker,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,
121,blind 76,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
122,Disabled Kakyoin Noriaki_syn_tags,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,connection_node,,,,,,,addition,,,,,,,,,
123,Blind!Nico,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
124,Deaf!Jimin,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
