,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2014_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2015_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2016_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2017_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2018_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action
4710,Permanent Injury of a Minor Character,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4711,Selectively Mute Cassandra Cain,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag,addition,addition,addition,addition,addition,addition,addition
4712,Verbal Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4713,Ignis is Blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4714,cw: depiction of disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4715,Mute!Byleth,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4716,Temporary Physical Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4717,fear of disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4718,Selective Mute!Dan,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4719,Deaf Alec Lightwood_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4720,If you count being farsighted a disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4721,deaf!harry 'verse,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4722,Living With a Disability,False,,False,,False,,False,,False,,False,,True,synned_tag,True,synned_tag,addition,addition,addition,addition,addition,addition,
4723,Blind Eret (Video Blogging RPF)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4724,deaf!derek,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4725,Mute noctis,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4726,disability!fic,False,,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag,True,synned_tag,addition,,,,,,
4727,permanant character injury,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4728,Blind! Soldier: 76,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4729,Main Character with Physical Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4730,Blind Marinette Dupain-Cheng_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4731,Mute Barry,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4732,Selectively Mute Toby Smith | Tubbo_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4733,Toshinori's disability is mentioned and brought up more than once,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4734,Mute Zhongli,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4735,哑巴光,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4736,Blind Bilbo Baggins_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4737,Blind Tony Stark,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag,addition,addition,addition,addition,addition,addition,addition
4738,Blind Kim Seungmin,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag,addition,addition,addition,addition,addition,addition,addition
4739,Blind!Shoto,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4740,Blind Gojo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4741,Mute Kim Taehyung | V_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4742,Eddie Lost His Arm,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4743,Blind Kaneki,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4744,Jungkook is slightly blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4745,not being able to talk,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4746,disability fetishism,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4747,Deaf Merlin (Merlin),False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
4748,Jackson Has A Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
4749,Deaf Steve Rogers,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,,,
4750,Blind James Potter,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
4751,Blind Terezi Pyrope_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
4752,darcy is a mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4753,blind taehyung,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
